family,variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
round12_ultralow,margin_regime,0.1,stable_positive_v2,4,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.25,-1.7700538635253906,-0.25,0.25,3.5,1.1666666666666667,1.1666666666666667
round12_ultralow,margin_regime,0.1,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,0.1,hard_near_tie,1489,0.001343183344526528,0.5,0.5,0.0,0.001343183344526528,0.0,0.9053055742108798,0.905977165883143,-0.004755013736804273,-0.000671591672263264,0.000671591672263264,3.002686366689053,1.0008954555630176,1.0008954555630176
round12_ultralow,margin_regime,0.1,high_headroom_near_tie,70,0.02857142857142857,0.5,0.5,0.0,0.02857142857142857,0.0,0.0,0.014285714285714285,-0.10114593505859375,-0.014285714285714285,0.014285714285714285,3.057142857142857,1.019047619047619,1.019047619047619
round12_ultralow,margin_regime,0.1,baseline_error_near_tie,144,0.013888888888888888,0.5,0.5,0.0,0.013888888888888888,0.0,0.020833333333333332,0.027777777777777776,-0.049168162875705294,-0.006944444444444444,0.006944444444444444,3.0277777777777777,1.0092592592592593,1.0092592592592593
round12_ultralow,margin_regime,0.1,large_gap_control,1921,0.0015616866215512754,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.0031233732431026,1.0010411244143675,1.0010411244143675
round12_ultralow,margin_regime,0.25,overall,8683,0.002533686513877692,0.045454545454545456,0.9545454545454546,0.0,0.0003455027064378671,0.0,0.9651042266497755,0.9660255672002764,-0.007082426780024995,-0.00023033513762524472,0.0009213405505009789,3.0050673730277553,1.0016891243425852,1.0016891243425852
round12_ultralow,margin_regime,0.25,stable_positive_v2,4,0.25,1.0,0.0,0.0,0.25,0.0,0.0,0.25,-1.7700538635253906,-0.25,0.25,3.5,1.1666666666666667,1.1666666666666667
round12_ultralow,margin_regime,0.25,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,0.25,hard_near_tie,1489,0.0020147750167897917,0.3333333333333333,0.6666666666666666,0.0,0.0020147750167897917,0.0,0.9053055742108798,0.905977165883143,-0.004755013736804273,-0.000671591672263264,0.000671591672263264,3.0040295500335796,1.0013431833445265,1.0013431833445265
round12_ultralow,margin_regime,0.25,high_headroom_near_tie,70,0.04285714285714286,0.3333333333333333,0.6666666666666666,0.0,0.04285714285714286,0.0,0.0,0.014285714285714285,-0.10114593505859375,-0.014285714285714285,0.014285714285714285,3.085714285714286,1.0285714285714287,1.0285714285714287
round12_ultralow,margin_regime,0.25,baseline_error_near_tie,144,0.020833333333333332,0.3333333333333333,0.6666666666666666,0.0,0.020833333333333332,0.0,0.020833333333333332,0.027777777777777776,-0.049168162875705294,-0.006944444444444444,0.006944444444444444,3.0416666666666665,1.0138888888888888,1.0138888888888888
round12_ultralow,margin_regime,0.25,large_gap_control,1921,0.004685059864653826,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.0093701197293075,1.0031233732431024,1.0031233732431024
round12_ultralow,margin_regime,0.5,overall,8683,0.005067373027755384,0.045454545454545456,0.9545454545454546,0.0,0.0008061729816883565,0.0,0.9651042266497755,0.966140734769089,-0.007483067963374014,-0.00023033513762524472,0.0010365081193136013,3.0101347460555106,1.0033782486851701,1.0033782486851701
round12_ultralow,margin_regime,0.5,stable_positive_v2,4,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25,0.5,4.0,1.3333333333333333,1.3333333333333333
round12_ultralow,margin_regime,0.5,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,0.5,hard_near_tie,1489,0.0047011417058428475,0.2857142857142857,0.7142857142857143,0.0,0.0047011417058428475,0.0,0.9053055742108798,0.9066487575554063,-0.007091324949040359,-0.000671591672263264,0.001343183344526528,3.009402283411686,1.003134094470562,1.003134094470562
round12_ultralow,margin_regime,0.5,high_headroom_near_tie,70,0.1,0.2857142857142857,0.7142857142857143,0.0,0.1,0.0,0.0,0.02857142857142857,-0.15084261213030134,-0.014285714285714285,0.02857142857142857,3.2,1.0666666666666667,1.0666666666666667
round12_ultralow,margin_regime,0.5,baseline_error_near_tie,144,0.04861111111111111,0.2857142857142857,0.7142857142857143,0.0,0.04861111111111111,0.0,0.020833333333333332,0.034722222222222224,-0.07332626978556316,-0.006944444444444444,0.013888888888888888,3.0972222222222223,1.0324074074074074,1.0324074074074074
round12_ultralow,margin_regime,0.5,large_gap_control,1921,0.013014055179593961,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0,0.001041124414367517,3.0260281103591877,1.0086760367863958,1.0086760367863958
round12_ultralow,margin_regime,0.75,overall,8683,0.007601059541633076,0.030303030303030304,0.9696969696969697,0.0,0.0009213405505009789,0.0,0.9651042266497755,0.966140734769089,-0.007483067963374014,-0.00023033513762524472,0.0010365081193136013,3.0152021190832663,1.0050673730277555,1.0050673730277555
round12_ultralow,margin_regime,0.75,stable_positive_v2,4,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25,0.5,4.0,1.3333333333333333,1.3333333333333333
round12_ultralow,margin_regime,0.75,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,margin_regime,0.75,hard_near_tie,1489,0.006044325050369375,0.2222222222222222,0.7777777777777778,0.0,0.005372733378106112,0.0,0.9053055742108798,0.9066487575554063,-0.007091324949040359,-0.000671591672263264,0.001343183344526528,3.012088650100739,1.0040295500335796,1.0040295500335796
