family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,overall,2,8683,140,4,0,0.016125719787596075,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9654482589066486,-0.0021671130772670452,0.0,-0.14819004974663064,0.0,-0.00011510128913443831,-0.009433962264150943,0.00034556913886940024,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,stable_near_tie,2,1436,16,4,0,0.010602295586321146,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,baseline_error_near_tie,2,144,17,4,0,0.11875361759598688,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,hard_near_tie,2,1489,18,4,0,0.011777748507200562,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,high_headroom_near_tie,2,70,16,4,0,0.22857142857142856,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,large_gap_control,2,1921,34,0,0,0.017577265385324184,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,overall,2,8683,162,4,0,0.018660866134680657,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9654482589066486,-0.0021671130772670452,0.0,-0.13895740710432314,0.0,-0.00011510128913443831,-0.009433962264150943,0.00034556913886940024,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,stable_near_tie,2,1436,17,4,0,0.01140101763104958,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.5,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_sharp_negative_tail_support_agree_mix_hybrid,0.1,baseline_error_near_tie,1,144,1,4,0,0.006944444444444444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4497121035555556,-0.17617596450000056,sharp_negative_tail_support_agree_mix_hybrid
