variant,split,suite,slice,decisions,disagreement,correction_rate,new_error_rate,base_target_match,student_target_match,mean_delta_regret,mean_delta_miss
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,overall,1310,0.1282442748091603,0.029770992366412213,0.0984732824427481,0.9580152671755725,0.8893129770992366,0.2612815398296327,0.0022900763358778627
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,hard_near_tie,128,0.2421875,0.0703125,0.171875,0.9296875,0.828125,0.2686914280056952,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_near_tie,124,0.21774193548387097,0.04032258064516129,0.1774193548387097,0.9596774193548387,0.8225806451612904,0.28775858879089344,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,high_headroom_near_tie,3,1.0,1.0,0.0,0.0,1.0,-2.2741972605387377,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,baseline_error_near_tie,9,1.0,1.0,0.0,0.0,1.0,-1.0418067508273656,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,large_gap_control,133,0.03007518796992481,0.0,0.03007518796992481,1.0,0.9699248120300752,0.2467730887850425,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,overall,1581,0.0006325110689437065,0.0,0.0006325110689437065,0.9664769133459835,0.9658444022770398,0.00495170023831886,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_positive_pack,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,hard_near_tie,355,0.0,0.0,0.0,0.8985915492957747,0.8985915492957747,-1.8132991196210523e-16,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_near_tie,342,0.0,0.0,0.0,0.9152046783625731,0.9152046783625731,-1.8925731677089657e-16,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,high_headroom_near_tie,18,0.0,0.0,0.0,0.0,0.0,-1.1472304587793285e-15,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,baseline_error_near_tie,37,0.0,0.0,0.0,0.02702702702702703,0.02702702702702703,-5.875555297551715e-16,0.0
gated_pairwise,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,large_gap_control,474,0.0,0.0,0.0,0.9957805907172996,0.9957805907172996,-2.951225761661808e-17,0.0
