group,label,budget_pct,stable_positive_recall,system_target_match,hard_mean_delta_regret,overall_mean_delta_regret,overall_mean_delta_miss
max_timing,branchwise_max_before_mix,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0158613185091457,-0.00023020257826885
max_timing,global_max_after_mix,1.5,0.75,0.9073203492276696,-0.0089435987299604,-0.0117772552778434,-0.0002303351376252
max_timing,branchwise_lift_before_mix,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0144508192022692,0.0
max_timing,branchwise_max_before_mix,2.0,1.0,0.90678327332865,-0.010151794330532999,-0.01671719527174505,-0.00023020257826885
max_timing,global_max_after_mix,2.0,0.75,0.9073203492276696,-0.0089435987299604,-0.0132432110804121,-0.0002303351376252
negative_cleanup_source,branchwise_max_union,0.75,0.6666666666666666,0.9052612033134293,-0.0063538988612739,-0.0136858548592878,-0.00023020257826885
negative_cleanup_source,fixed_negative_tail,0.75,0.5,0.9066487575554064,-0.0066072875177243,-0.0111002677681121,-0.0002303351376252
negative_cleanup_source,mass_negative_tail,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0116577480678515,-0.00023020257826885
negative_cleanup_source,sharp_negative_tail,0.75,0.75,0.9073203492276696,-0.0089435987299604,-0.014446054805908,-0.0002303351376252
negative_cleanup_source,sharp_plus_mass_negative_tail,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0130350096127519,-0.00023020257826885
negative_cleanup_source,branchwise_max_union,1.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.014472873105311,-0.00023020257826885
negative_cleanup_source,fixed_negative_tail,1.0,1.0,0.9079919408999328,-0.0099588218673593,-0.0130832412475459,-0.0002303351376252
negative_cleanup_source,mass_negative_tail,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0132289780451834,-0.00023020257826885
negative_cleanup_source,sharp_negative_tail,1.0,0.75,0.9073203492276696,-0.0089435987299604,-0.0151623640551375,-0.0002303351376252
negative_cleanup_source,sharp_plus_mass_negative_tail,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.01449585865643695,-0.00023020257826885
negative_cleanup_source,branchwise_max_union,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0158613185091457,-0.00023020257826885
negative_cleanup_source,fixed_negative_tail,1.5,1.0,0.9079919408999328,-0.0099588218673593,-0.0138029807808074,-0.0002303351376252
negative_cleanup_source,mass_negative_tail,1.5,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0142354367733908,-0.00023020257826885
