episode_index,packet_index,packet_order_rank,packet_count,curriculum_level,max_tree_depth,packet_priority,packet_deadline,reference_cost,oracle_realized_cost,oracle_remaining_deadline,oracle_initial_slack,has_on_time_feasible_route,oracle_deadline_missed,suite,config_path,split,manifest_hash
18,0,0,1,single_dynamic,3,1.0,15.309645675601136,25.318175551284245,25.650467716712104,0.0,-10.00852987568311,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
19,0,0,4,multi_dynamic,3,2.0,14.591048613674051,34.278443386281566,35.91807008026753,0.0,-19.687394772607515,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
19,1,1,4,multi_dynamic,3,2.0,15.116129820008199,36.42915778925305,36.995138356597,0.0,-21.31302796924485,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
19,2,2,4,multi_dynamic,3,1.0,13.252124177751426,28.894228472589074,29.20629328359989,0.0,-15.642104294837647,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
19,3,3,4,multi_dynamic,3,1.0,14.579423028721056,24.521738749169735,24.84362919011596,0.0,-9.94231572044868,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
20,0,0,1,single_dynamic,2,1.0,10.051142552823235,16.958640754576113,17.203663646194013,0.0,-6.907498201752878,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
21,1,0,2,multi_dynamic,3,3.0,17.85918916399561,33.05589745558701,34.333300425346316,0.0,-15.1967082915914,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
21,0,1,2,multi_dynamic,3,2.0,14.354124404361436,31.68292079398875,32.27812925698088,0.0,-17.328796389627314,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
22,0,0,1,single_dynamic,3,1.0,14.197229420025488,29.998556611596257,30.271999945538756,0.0,-15.801327191570769,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
23,0,0,4,multi_dynamic,3,2.0,9.395801482103902,36.92527701341255,37.48735580174868,0.0,-27.529475531308645,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
23,1,1,4,multi_dynamic,3,1.0,8.003724344695124,30.232151556845167,30.51038883352661,0.0,-22.228427212150045,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
23,3,2,4,multi_dynamic,3,1.0,8.408736994156277,29.711857341666153,29.96152072129974,0.0,-21.303120347509875,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
23,2,3,4,multi_dynamic,3,1.0,10.37816158876217,32.426172067250164,32.69450888921176,0.0,-22.048010478487996,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
24,0,0,1,single_dynamic,3,2.0,16.276991740073143,28.318729653555028,28.888045421223325,0.0,-12.041737913481885,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
25,3,0,4,multi_dynamic,3,3.0,8.595481079045966,53.527377776834776,54.59016509536972,0.0,-44.93189669778881,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
25,1,1,4,multi_dynamic,3,3.0,10.345557550470883,59.55131994752307,62.43205673703689,0.0,-49.20576239705218,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
25,0,2,4,multi_dynamic,3,3.0,16.263752773226358,50.257413478265846,53.96313151324817,0.0,-33.99366070503949,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
25,2,3,4,multi_dynamic,3,1.0,13.737794463693458,31.716116310554817,32.017175578463934,0.0,-17.97832184686136,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
26,0,0,1,single_dynamic,3,1.0,12.918876539125062,25.10379430712924,25.381718148807813,0.0,-12.18491776800418,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
27,0,0,2,multi_dynamic,3,3.0,9.081861185099237,44.3789782625551,45.58311961072265,0.0,-35.297117077455866,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
27,1,1,2,multi_dynamic,3,2.0,17.244421824340847,26.626844144340648,28.36374718742884,0.0,-9.382422319999801,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
28,0,0,1,single_dynamic,3,3.0,10.543594514068005,41.47951790097692,42.21692929897332,0.0,-30.935923386908918,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
29,0,0,1,multi_dynamic,3,2.0,12.854132836407937,26.51515729016525,27.095057696624476,0.0,-13.661024453757312,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
30,0,0,1,single_dynamic,3,1.0,9.443433264514832,31.46083642031109,31.812580945615387,0.0,-22.01740315579626,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
31,1,0,2,multi_dynamic,3,3.0,16.39113474316902,33.10177602002128,34.03519519727009,0.0,-16.710641276852265,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
31,0,1,2,multi_dynamic,3,2.0,10.485391088598904,51.14977116443284,51.67477116443283,0.0,-40.66438007583394,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
32,0,0,1,single_dynamic,3,3.0,17.69048255698802,18.95703043141998,20.147499461051996,0.0,-1.2665478744319607,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
33,0,0,1,multi_dynamic,3,2.0,10.00050669228073,49.117190055491214,50.86544292714521,0.0,-39.116683363210484,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
34,0,0,1,single_dynamic,3,1.0,9.5467331302894,29.035769806215445,29.30479473312399,0.0,-19.489036675926044,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
35,2,0,3,multi_dynamic,3,3.0,14.249791568997047,40.55322486805906,41.54034735297228,0.0,-26.303433299062014,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
35,1,1,3,multi_dynamic,3,1.0,15.023290953513628,20.57175024057071,20.96810039201163,0.0,-5.548459287057083,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
35,0,2,3,multi_dynamic,3,1.0,16.87546351207851,23.149809271001466,23.43483273334871,0.0,-6.274345758922955,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
36,0,0,1,single_dynamic,3,2.0,16.997976372125883,28.707891157919445,29.501952893269888,0.0,-11.709914785793561,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
37,0,0,2,multi_dynamic,3,2.0,14.371115821183905,35.93467070075297,36.58842439788313,0.0,-21.56355487956906,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
37,1,1,2,multi_dynamic,3,2.0,17.66507524099023,32.700134664883585,33.27283357818673,0.0,-15.035059423893355,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
38,0,0,1,single_dynamic,3,2.0,14.08190719870986,29.218875483620526,29.730918108614492,0.0,-15.136968284910665,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
39,0,0,1,multi_dynamic,3,3.0,8.14036952035412,47.4630084770227,48.250508435299444,0.0,-39.32263895666858,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
40,0,0,1,single_dynamic,3,2.0,10.835807493579088,25.842594606169005,26.517054671372357,0.0,-15.006787112589917,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
41,0,0,2,multi_dynamic,3,1.0,7.009131879125374,27.464835958611808,27.866003836760072,0.0,-20.455704079486434,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
41,1,1,2,multi_dynamic,3,1.0,11.60899335911815,30.622435140448392,30.939943463454952,0.0,-19.013441781330243,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
42,0,0,1,single_dynamic,3,1.0,17.678162059150512,30.610048849104796,30.936379829826254,0.0,-12.931886789954284,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
