seed,suite,slice,decisions,teacher_disagreement,helpful_rate,harmful_rate,stable_positive_rate,unstable_positive_rate,base_target_match,teacher_target_match,recovery_rate,baseline_success_break,mean_delta_regret,p95_delta_regret,mean_delta_miss,mean_teacher_gain
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,stable_positive_pack,28,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.5441618306296214,-0.654644012451172,0.0,2.5441618306296214
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,unstable_positive_pack,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.3040914535522461,-0.2725289344787597,0.0,0.3040914535522461
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,harmful_pack,37,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.227762016090187,12.857642745971672,0.7297297297297297,-7.227762016090187
314.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed314,large_gap_control,562,0.026690391459074734,0.0,0.026690391459074734,0.0,0.0,1.0,0.9733096085409253,0.0,0.026690391459074734,0.2219917120882625,0.0,0.0035587188612099642,-0.2219917120882625
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,overall,1189,0.030277544154751892,0.02607232968881413,0.004205214465937763,0.0008410428931875525,0.0,0.9419680403700589,0.9638351555929352,0.0008410428931875525,0.004205214465937763,-0.09729252952402434,0.0,-0.002523128679562658,0.09729252952402434
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,hard_near_tie,93,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0,0.9032258064516129,0.9032258064516129,0.010752688172043012,0.010752688172043012,-0.005950189405871971,0.0,0.0,0.005950189405871971
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,stable_near_tie,91,0.02197802197802198,0.01098901098901099,0.01098901098901099,0.01098901098901099,0.0,0.9010989010989011,0.9010989010989011,0.01098901098901099,0.01098901098901099,-0.006080962799407619,0.0,0.0,0.006080962799407619
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,high_headroom_near_tie,4,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.0,-0.5184192657470702,0.0,0.0,0.5184192657470702
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,baseline_error_near_tie,9,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,-0.23040856255425343,0.0,0.0,0.23040856255425343
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,stable_positive_pack,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.073677062988281,-2.073677062988281,0.0,2.073677062988281
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,unstable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,harmful_pack,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.5203094482421875,1.5203094482421875,0.0,-1.5203094482421875
314.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed314,large_gap_control,90,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.9777777777777777,1.0,0.0,0.0,-0.3037681367662218,0.0,-0.022222222222222223,0.3037681367662218
