family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,source_name
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,high_headroom_near_tie,2,70,7,4,2,0.09999999999999999,0.6666666666666666,0.35,0.65,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-1.577713394165039,-0.08696918487548835,-0.014285714285714285,-0.1,0.02857142857142857,-228571426.5311045,4.485784566499996,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,large_gap_control,2,1921,4,0,0,0.002082452545882251,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,-3.1430020332336426,-2.8712805271148683,0.0,0.0,0.0010309278350515464,-993278372.1746006,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,overall,2,8683,22,4,2,0.0025336873540211125,0.6666666666666666,0.09090909090909091,0.9090909090909091,0.0,0.0,0.0002303352140019193,0.0,0.9651026897677792,0.966024295895253,-0.006808460989493518,0.0,-2.686566959727894,0.0,-0.00023020257826887662,-0.09090909090909091,0.0009216061274737626,-979151678.7756042,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,stable_near_tie,2,1436,7,4,2,0.0046838638425432885,0.6666666666666666,0.35,0.65,0.0,0.0,0.0014160059953457183,0.0,0.9160198004180965,0.9174358064134422,-0.00714907157361397,0.0,-1.577713394165039,-0.08696918487548835,-0.0006172839506172839,-0.1,0.0014160059953457183,-955849406.2769463,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,stable_positive_v2,2,4,2,4,2,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,-4.11990229288737,-3.5401077270507812,-5.279491424560547,-5.279491424560547,-0.5,-0.5,0.6666666666666666,-166666662.53451177,5.1604402715,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249999999.74110195,-24999999.50809373,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,baseline_error_near_tie,2,144,17,4,2,0.11894655604862049,0.6666666666666666,0.16346153846153846,0.8365384615384616,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-0.7071619033813477,0.0,-0.007042253521126761,-0.038461538461538464,0.013891568589619912,-568975495.7557535,3.958380031499999,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,hard_near_tie,2,1489,17,4,2,0.0108566400304414,0.6666666666666666,0.16346153846153846,0.8365384615384616,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-0.7071619033813477,0.0,-0.0006009615384615385,-0.038461538461538464,0.0013619965460718885,-957497292.3703876,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,high_headroom_near_tie,2,70,17,4,2,0.24285714285714285,0.6666666666666666,0.16346153846153846,0.8365384615384616,0.0,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,0.0,-0.7071619033813477,0.0,-0.014285714285714285,-0.038461538461538464,0.02857142857142857,-228571426.5311045,4.485784566499996,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.5,large_gap_control,2,1921,4,0,0,0.002082452545882251,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,-3.1430020332336426,-2.8712805271148683,0.0,0.0,0.0010309278350515464,-993278372.1746006,-1000000000.0,rerun1
