variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss
prototype_support_weighted_evidence_agree_hybrid,1.0,baseline_error_near_tie,144.0,0.3472222222222222,0.040302379674360345,0.9596976203256395,0.0,0.013888888888888888,0.0,0.020833333333333332,0.034722222222222224,-0.07332626978556316,-0.006944444444444444
prototype_support_weighted_evidence_agree_hybrid,1.0,hard_near_tie,1489.0,0.03492276695768973,0.038451895610287536,0.9615481043897126,0.0,0.001343183344526528,0.0,0.9053055742108798,0.9066487575554063,-0.007091324949040359,-0.000671591672263264
prototype_support_weighted_evidence_agree_hybrid,1.0,high_headroom_near_tie,70.0,0.5714285714285714,0.050505050505050504,0.9494949494949497,0.0,0.02857142857142857,0.0,0.0,0.02857142857142857,-0.15084261213030134,-0.014285714285714285
prototype_support_weighted_evidence_agree_hybrid,1.0,large_gap_control,1921.0,0.0031233732431025507,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0
prototype_support_weighted_evidence_agree_hybrid,1.0,overall,8683.0,0.010134746055510768,0.022727272727272728,0.9772727272727274,0.0,0.00023033513762524472,0.0,0.9651042266497755,0.9666014050443396,-0.008888914386591548,-0.00023033513762524472
prototype_support_weighted_evidence_agree_hybrid,1.0,stable_positive_v2,4.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25
prototype_support_weighted_evidence_agree_hybrid,1.5,baseline_error_near_tie,144.0,0.4375,0.04873737373737373,0.9512626262626264,0.0,0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664,-0.09247929520077175,-0.006944444444444444
prototype_support_weighted_evidence_agree_hybrid,1.5,hard_near_tie,1489.0,0.04566823371390195,0.04309846280128349,0.9569015371987165,0.0,0.0020147750167897917,0.0,0.9053055742108798,0.9073203492276696,-0.008943598729960466,-0.000671591672263264
prototype_support_weighted_evidence_agree_hybrid,1.5,high_headroom_near_tie,70.0,0.6428571428571429,0.06845238095238095,0.9315476190476192,0.0,0.04285714285714286,0.0,0.0,0.04285714285714286,-0.19024312155587333,-0.014285714285714285
prototype_support_weighted_evidence_agree_hybrid,1.5,large_gap_control,1921.0,0.004685059864653826,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0
prototype_support_weighted_evidence_agree_hybrid,1.5,overall,8683.0,0.015202119083266153,0.02272291031936316,0.9772770896806369,0.015142790335696016,0.0003455027064378671,0.00023033513762524472,0.9651042266497755,0.9668317401819647,-0.009707580688539826,-0.00023033513762524472
prototype_support_weighted_evidence_agree_hybrid,1.5,stable_positive_v2,4.0,0.75,1.0,0.0,0.0,0.75,0.0,0.0,0.75,-3.329254627227783,-0.25
prototype_support_weighted_evidence_agree_hybrid,2.0,baseline_error_near_tie,144.0,0.4791666666666667,0.04346988795518208,0.9565301120448179,0.0,0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664,-0.09247929520077175,-0.006944444444444444
prototype_support_weighted_evidence_agree_hybrid,2.0,hard_near_tie,1489.0,0.05439892545332438,0.035931384487462394,0.9640686155125376,0.0,0.0020147750167897917,0.0,0.9053055742108798,0.9073203492276696,-0.008943598729960466,-0.000671591672263264
prototype_support_weighted_evidence_agree_hybrid,2.0,high_headroom_near_tie,70.0,0.6714285714285714,0.06545454545454546,0.9345454545454546,0.0,0.04285714285714286,0.0,0.0,0.04285714285714286,-0.19024312155587333,-0.014285714285714285
prototype_support_weighted_evidence_agree_hybrid,2.0,large_gap_control,1921.0,0.00676730869338886,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0
prototype_support_weighted_evidence_agree_hybrid,2.0,overall,8683.0,0.020039156973396293,0.017238069897447913,0.9827619301025523,0.01148763404776939,0.0003455027064378671,0.00023033513762524472,0.9651042266497755,0.96706207531959,-0.010412945034014359,-0.00023033513762524472
prototype_support_weighted_evidence_agree_hybrid,2.0,stable_positive_v2,4.0,0.75,1.0,0.0,0.0,0.75,0.0,0.0,0.75,-3.329254627227783,-0.25
